City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
341,Bathsheba,BB,29.0,few clouds,13.2167,-59.5167,Atlantis Hotel
344,Faanui,PF,27.52,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
346,Hobyo,SO,25.26,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
348,Serrana,BR,30.0,scattered clouds,-21.2114,-47.5956,CMS Plaza Hotel
350,Plaridel,PH,25.0,few clouds,14.8872,120.8572,St. Agatha Resort
353,Luganville,VU,25.91,clear sky,-15.5333,167.1667,The Espiritu Hotel
355,Tigre,AR,32.22,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
356,Mersing,MY,26.0,broken clouds,2.4312,103.8405,Timotel Hotel
359,Monrovia,LR,25.0,scattered clouds,6.3005,-10.7969,Sunset Inn
373,Koumac,NC,25.29,clear sky,-20.5667,164.2833,Le Monitel
383,Tonantins,BR,30.97,broken clouds,-2.8731,-67.8022,Hotel Rei Davi
393,Touros,BR,31.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
404,Salinopolis,BR,28.57,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
406,Kudahuvadhoo,MV,27.2,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
407,Mareeba,AU,26.0,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
413,Mahajanga,MG,26.0,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
421,Zaraza,VE,32.9,overcast clouds,9.3503,-65.3245,Hotel Zaraza
427,Axim,GH,26.62,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
433,Florianopolis,BR,27.0,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
436,Bolgatanga,GH,29.77,clear sky,10.7856,-0.8514,Mama's Place
441,Ocos,GT,32.0,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
443,Talara,PE,32.0,clear sky,-4.5772,-81.2719,Hostal Oro Negro
444,Manokwari,ID,25.52,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
447,Kampot,KH,26.0,light rain,10.6167,104.1833,Two Moons Hotel
450,Ipixuna,BR,29.0,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
456,Batticaloa,LK,25.04,few clouds,7.7102,81.6924,Grand Star Guest House
459,Cururupu,BR,29.33,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
464,Coihaique,CL,25.0,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
468,Rivadavia,AR,34.0,few clouds,-33.1905,-68.4608,Posada Del Fin Del Mundo
481,Cabedelo,BR,30.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
486,Talisay,PH,26.0,overcast clouds,10.2447,123.8494,RedDoorz near Talisay District Hospital
489,Kirakira,SB,26.4,overcast clouds,-10.4544,161.9205,SanBiz Lodge
491,Carutapera,BR,29.74,broken clouds,-1.195,-46.02,Lidera
497,Kralendijk,BQ,29.0,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
498,Itarema,BR,28.37,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
500,Tabou,CI,26.17,few clouds,4.423,-7.3528,hotêl doufoulougou
501,Kerema,PG,26.42,broken clouds,-7.9631,145.7785,Frena Lodge
504,Iguape,BR,25.12,few clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
509,Wamba,NG,26.9,clear sky,8.9333,8.6,Roma Zee Guest House Annex
511,Jega,NG,27.59,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
512,Humaita,BR,26.68,light rain,-7.5061,-63.0208,Corrêa Hotel
516,Manta,EC,29.0,scattered clouds,-0.95,-80.7333,Balandra Hotel
517,Moron,AR,35.0,clear sky,-34.6534,-58.6198,Hotel Morón
523,Kabanjahe,ID,25.0,scattered clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
529,Idanre,NG,25.83,clear sky,7.1127,5.1159,Rock valley hotel
531,Labuhan,ID,25.25,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
538,Grand-Santi,GF,25.76,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
542,Sola,VU,27.66,few clouds,-13.8833,167.55,Leumerus Bungalows
544,Tarakan,ID,25.48,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
546,Kavaratti,IN,27.26,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
556,Zarate,AR,32.78,clear sky,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
558,Abaete,BR,25.9,overcast clouds,-19.16,-45.4458,Hotel Millenium
559,Lufilufi,WS,28.0,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
563,Comalcalco,MX,31.0,clear sky,18.2667,-93.2167,Hotel Plaza Broca
